date,breadth,sma_cross,rsi5,wma_iwma,composite,eq_wt,next_ret,bil_ret,variant
2025-09-30,0.7741935483870968,1.0,0.6785022763415418,0.0,0.6131739561821596,0.6131739561821596,0.020612118543539282,0.003510575007361405,B: 50d cont
2025-10-31,0.7419354838709677,1.0,0.4493530839316698,1.0,0.7978221419506594,0.7978221419506594,0.0021099860603555065,0.0028756202974724587,B: 50d cont
2025-11-28,0.7419354838709677,1.0,0.6949293355043216,1.0,0.8592162048438223,0.8592162048438223,0.02559720199579041,0.0033519540835871275,B: 50d cont
2025-12-31,0.8709677419354839,1.0,0.5642295455196313,1.0,0.8587993218637788,0.8587993218637788,0.05437213876383806,0.002954689967882951,B: 50d cont
2026-01-30,0.9354838709677419,1.0,0.4813604610930859,1.0,0.854211083015207,0.854211083015207,0.05185078033681445,0.002670306885627971,B: 50d cont
2026-02-27,0.8064516129032258,1.0,0.6396456150274931,1.0,0.8615243069826797,0.8615243069826797,,0.0,B: 50d cont
2016-01-29,0.0,0.0,0.6844575514357458,1.0,0.42111438785893646,0.42111438785893646,-0.024592372887258462,0.0,C: 50d bin@60%
2016-02-29,0.0,0.0,0.48904324546125394,1.0,0.37226081136531347,0.37226081136531347,0.08194011277774238,0.0,C: 50d bin@60%
2016-03-31,1.0,0.0,0.5677945828543945,1.0,0.6419486457135987,0.6419486457135987,0.0253294215845552,0.00043786511227805747,C: 50d bin@60%
2016-04-29,1.0,0.0,0.40131202398368615,0.0,0.3503280059959215,0.3503280059959215,-0.01210498887798217,0.0,C: 50d bin@60%
2016-05-31,1.0,1.0,0.6107490991495418,1.0,0.9026872747873854,0.9026872747873854,-0.007840212089571752,-0.0002190934050421145,C: 50d bin@60%
2016-06-30,0.0,1.0,0.568754063493389,0.0,0.39218851587334724,0.39218851587334724,0.04158112542635917,0.000437769382719555,C: 50d bin@60%
2016-07-29,1.0,1.0,0.7878082687278527,1.0,0.9469520671819631,0.9469520671819631,0.00714638550360247,0.0,C: 50d bin@60%
2016-08-31,1.0,1.0,0.30481358602152836,0.0,0.5762033965053821,0.5762033965053821,0.014925186261598,0.0002190455260566715,C: 50d bin@60%
2016-09-30,1.0,1.0,0.5389533361865491,0.0,0.6347383340466373,0.6347383340466373,-0.017598515842127904,0.0002188949325874212,C: 50d bin@60%
2016-10-31,0.0,1.0,0.3576428121424615,0.0,0.3394107030356154,0.3394107030356154,-0.020368188487622785,-0.00043779665673970847,C: 50d bin@60%
2016-11-30,0.0,1.0,0.5440820077073009,1.0,0.6360205019268252,0.6360205019268252,0.01855399858886342,0.00021884023502938277,C: 50d bin@60%
